x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
-0.0011756552490055701,-0.0003164912761582633,3056457230.8429227,-57194389978.77826,23566608040.432827,104376582629.34877,143271136847.60092,-37113088612.18126,-141187055861.91556,175897470024.45554,-733486909374.0348,-234445549569.43152,-1359877017797.0027,-378152079253.2039,-1081467986901.3862,-2626158526766.319,-3128193791700.7925,3295254855328.2812
-0.0013991269424713793,-0.0003766507226902953,3056930666.185112,-57194364676.26763,23566269758.6787,104376659007.4488,143271210802.88168,-37112803114.34826,-141187242158.6397,175897320490.07993,-733486870009.5155,-234445672725.32077,-1359876992228.5005,-378152171200.37244,-1081467924561.4208,-2626158552438.293,-3128193830688.1616,3295254818317.4717
-0.001642030966127874,-0.0004420414118096261,3057404101.316638,-57194339369.816246,23565931476.67553,104376735384.4459,143271284757.59024,-37112517616.36706,-141187428455.2046,175897170955.50586,-733486830644.9755,-234445795881.20343,-1359876966659.992,-378152263147.5393,-1081467862221.4547,-2626158578110.266,-3128193869675.531,3295254781306.662
-0.0019043673214207957,-0.0005126633413311146,3057877536.237533,-57194314059.42412,23565593194.42332,104376811760.34012,143271358711.7266,-37112232118.23764,-141187614751.6102,175897021420.73334,-733486791280.4147,-234445919037.0794,-1359876941091.4768,-378152355094.7043,-1081467799881.4882,-2626158603782.2383,-3128193908662.8994,3295254744295.852
-0.0021861360097959,-0.0005885165090696018,3058350970.9476995,-57194288745.091225,23565254911.922077,104376888135.13138,143271432665.29077,-37111946619.96004,-141187801047.85657,175896871885.76236,-733486751915.8329,-234446042192.94873,-1359876915522.9558,-378152447041.86755,-1081467737541.5206,-2626158629454.208,-3128193947650.268,3295254707285.0405
-0.002487337032698957,-0.0006696009128399099,3058824405.447139,-57194263426.81757,23564916629.171806,104376964508.81966,143271506618.28284,-37111661121.53421,-141187987343.9436,175896722350.59293,-733486712551.2302,-234446165348.81146,-1359876889954.4287,-378152538989.02905,-1081467675201.5526,-2626158655126.1772,-3128193986637.636,3295254670274.2285
-0.002807970391575752,-0.0007559165504568443,3059297839.735816,-57194238104.60319,23564578346.172516,104377040881.40504,143271580570.70273,-37111375622.96019,-141188173639.8714,175896572815.22498,-733486673186.6068,-234446288504.6675,-1359876864385.8948,-378152630936.1888,-1081467612861.5839,-2626158680798.1445,-3128194025625.0044,3295254633263.4165
-0.0031480360878720854,-0.0008474634197351917,3059771273.813731,-57194212778.44805,23564240062.9242,104377117252.88745,143271654522.55038,-37111090124.23795,-141188359935.63992,175896423279.6586,-733486633821.9626,-234446411660.5169,-1359876838817.3547,-378152722883.34686,-1081467550521.6144,-2626158706470.1104,-3128194064612.3726,3295254596252.604
-0.0035075341230337716,-0.0009442415184897204,3060244707.680788,-57194187448.35217,23563901779.426865,104377193623.26688,143271728473.82587,-37110804625.36753,-141188546231.24915,175896273743.89377,-733486594457.2979,-234446534816.3597,-1359876813248.8086,-378152814830.5031,-1081467488181.6445,-2626158732142.075,-3128194103599.74,3295254559241.791
-0.003886464498506641,-0.0010462508445351823,3060718141.3370175,-57194162114.31555,23563563495.680515,104377269992.5434,143271802424.52914,-37110519126.34889,-141188732526.69913,175896124207.93048,-733486555092.6123,-234446657972.19583,-1359876787680.2559,-378152906777.65765,-1081467425841.6741,-2626158757814.038,-3128194142587.1064,3295254522230.978
