x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
-8.33719815699821e-07,-2.2444117790109284e-07,3051388111.966552,-57194660647.56431,23570230031.483887,104375764774.50536,143270344967.3201,-37116145448.376595,-141185061159.73514,175899071087.14883,-733487330851.4243,-234444230930.2006,-1359877291560.3665,-378151094768.25934,-1081468654379.767,-2626158251894.5825,-3128193374260.244,3295255251605.602
-8.92209077667057e-07,-2.4018675365825366e-07,3051392894.165536,-57194660392.4293,23570226614.524654,104375765546.12611,143270345714.40787,-37116142564.57687,-141185063041.53824,175899069576.72305,-733487330453.8053,-234444232174.20023,-1359877291302.0994,-378151095697.0188,-1081468653750.0704,-2626158252153.8955,-3128193374654.056,3295255251231.7554
-9.526810265033659e-07,-2.564660777118161e-07,3051397676.3644986,-57194660137.293884,23570223197.565395,104375766317.74677,143270346461.49557,-37116139680.77714,-141185064923.34134,175899068066.29724,-733487330056.1863,-234444233418.19986,-1359877291043.8323,-378151096625.77826,-1081468653120.3739,-2626158252413.2085,-3128193375047.868,3295255250857.9087
-1.0151356622102376e-06,-2.7327915005952827e-07,3051402458.56344,-57194659882.158066,23570219780.60611,104375767089.3673,143270347208.58325,-37116136796.97739,-141185066805.1444,175899066555.87143,-733487329658.5673,-234444234662.1995,-1359877290785.5652,-378151097554.5377,-1081468652490.6774,-2626158252672.5215,-3128193375441.68,3295255250484.062
-1.079572984789162e-06,-2.906259706991384e-07,3051407240.7623596,-57194659627.02185,23570216363.6468,104375767860.98772,143270347955.67087,-37116133913.17762,-141185068686.94748,175899065045.4456,-733487329260.9482,-234444235906.19913,-1359877290527.298,-378151098483.2972,-1081468651860.9808,-2626158252931.8345,-3128193375835.492,3295255250110.2153
-1.1459929942416288e-06,-3.085065396283947e-07,3051412022.961258,-57194659371.88523,23570212946.687466,104375768632.60803,143270348702.75842,-37116131029.37784,-141185070568.75052,175899063535.0197,-733487328863.3292,-234444237150.19876,-1359877290269.031,-378151099412.05664,-1081468651231.2843,-2626158253191.1475,-3128193376229.304,3295255249736.3687
-1.2143956905691278e-06,-3.269208568450453e-07,3051416805.160135,-57194659116.74821,23570209529.728104,104375769404.22823,143270349449.84592,-37116128145.57804,-141185072450.55356,175899062024.59384,-733487328465.7102,-234444238394.1984,-1359877290010.764,-378151100340.8161,-1081468650601.5878,-2626158253450.4604,-3128193376623.116,3295255249362.522
-1.2847810737731488e-06,-3.4586892234683836e-07,3051421587.35899,-57194658861.61079,23570206112.76872,104375770175.84831,143270350196.93335,-37116125261.77823,-141185074332.35657,175899060514.16794,-733487328068.0912,-234444239638.19803,-1359877289752.4968,-378151101269.57556,-1081468649971.8912,-2626158253709.7734,-3128193377016.928,3295255248988.6753
-1.3571491438551816e-06,-3.6535073613152214e-07,3051426369.557824,-57194658606.47296,23570202695.809307,104375770947.46828,143270350944.02072,-37116122377.9784,-141185076214.15958,175899059003.742,-733487327670.4722,-234444240882.19766,-1359877289494.2297,-378151102198.335,-1081468649342.1947,-2626158253969.0864,-3128193377410.74,3295255248614.8286
-1.4314999008167162e-06,-3.853662981968448e-07,3051431151.7566366,-57194658351.33473,23570199278.84987,104375771719.08813,143270351691.10803,-37116119494.17856,-141185078095.96255,175899057493.31607,-733487327272.8531,-234444242126.1973,-1359877289235.9626,-378151103127.0945,-1081468648712.4982,-2626158254228.3994,-3128193377804.5522,3295255248240.982
-1.5078333446592422e-06,-4.059156085405546e-07,3051435933.9554276,-57194658096.196106,23570195861.890408,104375772490.70789,143270352438.19528,-37116116610.3787,-141185079977.76553,175899055982.8901,-733487326875.2341,-234444243370.19693,-1359877288977.6956,-378151104055.85394,-1081468648082.8016,-2626158254487.7124,-3128193378198.3643,3295255247867.1353
-1.5861494753842495e-06,-4.269986671603996e-07,3051440716.154197,-57194657841.057076,23570192444.93092,104375773262.32751,143270353185.28247,-37116113726.57883,-141185081859.56848,175899054472.4641,-733487326477.6151,-234444244614.19656,-1359877288719.4285,-378151104984.6134,-1081468647453.1051,-2626158254747.0254,-3128193378592.1763,3295255247493.2886
-1.666448292993228e-06,-4.4861547405412805e-07,3051445498.3529453,-57194657585.91764,23570189027.971405,104375774033.94704,143270353932.3696,-37116110842.77894,-141185083741.37143,175899052962.03812,-733487326079.9961,-234444245858.1962,-1359877288461.1614,-378151105913.37286,-1081468646823.4086,-2626158255006.3384,-3128193378985.9883,3295255247119.442
-1.7487297974876674e-06,-4.707660292194881e-07,3051450280.551672,-57194657330.7778,23570185611.011868,104375774805.56645,143270354679.45667,-37116107958.979034,-141185085623.17435,175899051451.6121,-733487325682.3771,-234444247102.19583,-1359877288202.8943,-378151106842.1323,-1081468646193.712,-2626158255265.6514,-3128193379379.8003,3295255246745.595
-1.8329939888690576e-06,-4.93450332654228e-07,3051455062.750377,-57194657075.637566,23570182194.052303,104375775577.18575,143270355426.5437,-37116105075.179115,-141185087504.97726,175899049941.18604,-733487325284.7579,-234444248346.19547,-1359877287944.6272,-378151107770.8918,-1081468645564.0155,-2626158255524.9644,-3128193379773.6123,3295255246371.7485
-1.9192408671388883e-06,-5.166683843560959e-07,3051459844.949061,-57194656820.496925,23570178777.092712,104375776348.80493,143270356173.63068,-37116102191.37918,-141185089386.78015,175899048430.75998,-733487324887.1388,-234444249590.1951,-1359877287686.36,-378151108699.65125,-1081468644934.319,-2626158255784.2773,-3128193380167.4243,3295255245997.902
-2.0074704322986496e-06,-5.404201843228399e-07,3051464627.147723,-57194656565.35588,23570175360.1331,104375777120.424,143270356920.7176,-37116099307.57923,-141185091268.583,175899046920.3339,-733487324489.5197,-234444250834.19473,-1359877287428.093,-378151109628.4107,-1081468644304.6224,-2626158256043.5903,-3128193380561.2363,3295255245624.055
-2.097682684349831e-06,-5.647057325522084e-07,3051469409.346364,-57194656310.21444,23570171943.17346,104375777892.04295,143270357667.80444,-37116096423.77927,-141185093150.38586,175899045409.90778,-733487324091.9005,-234444252078.19437,-1359877287169.826,-378151110557.17017,-1081468643674.9259,-2626158256302.9033,-3128193380955.0483,3295255245250.2085
-2.1898776232939224e-06,-5.895250290419495e-07,3051474191.544984,-57194656055.07259,23570168526.21379,104375778663.6618,143270358414.89124,-37116093539.97929,-141185095032.1887,175899043899.48166,-733487323694.2814,-234444253322.194,-1359877286911.5588,-378151111485.9296,-1081468643045.2294,-2626158256562.2163,-3128193381348.8604,3295255244876.362
-2.2840552491324138e-06,-6.148780737898112e-07,3051478973.7435822,-57194655799.93034,23570165109.2541,104375779435.28053,143270359161.97797,-37116090656.17929,-141185096913.99152,175899042389.0555,-733487323296.6622,-234444254566.19363,-1359877286653.2917,-378151112414.6891,-1081468642415.5328,-2626158256821.5293,-3128193381742.6724,3295255244502.515
-2.3802155618667948e-06,-6.40764866793542e-07,3051483755.942159,-57194655544.7877,23570161692.294384,104375780206.89915,143270359909.06464,-37116087772.37928,-141185098795.7943,175899040878.62933,-733487322899.0431,-234444255810.19327,-1359877286395.0247,-378151113343.44855,-1081468641785.8363,-2626158257080.8423,-3128193382136.4844,3295255244128.6685
-2.4783585614985553e-06,-6.671854080508898e-07,3051488538.1407146,-57194655289.644646,23570158275.33464,104375780978.51767,143270360656.15125,-37116084888.579254,-141185100677.5971,175899039368.20316,-733487322501.424,-234444257054.1929,-1359877286136.7576,-378151114272.208,-1081468641156.1398,-2626158257340.1553,-3128193382530.2964,3295255243754.822
-2.578484248029185e-06,-6.94139697559603e-07,3051493320.3392487,-57194655034.50119,23570154858.374874,104375781750.13606,143270361403.2378,-37116082004.77921,-141185102559.39987,175899037857.77695,-733487322103.8048,-234444258298.19254,-1359877285878.4905,-378151115200.96747,-1081468640526.4432,-2626158257599.4683,-3128193382924.1084,3295255243380.975
